食べ物(たべもの),食物;食材

和食(わしょく),日本料理
日本料理(にほんりょうり),日本料理
洋食(ようしょく),西餐
中華料理(ちゅうかりょうり),中餐
ガチ中華(ガチちゅうか),正宗中餐
ファーストフード,快餐

パン,面包
ご飯(ごはん),米饭;饭
寿司(すし),寿司
唐揚げ(からあげ),炸鸡
すき焼き(すきやき),日式火锅
そば,荞麦面
タバコ(たばこ),香烟
肉(にく),肉
鶏肉
豚肉
牛肉(ぎゅうにく),牛肉

水産(すいさん),水产
魚(さかな),鱼
刺身(さしみ),生鱼片
サーモン,三文鱼
貝(かい),贝类
貝類(かいるい),贝类
烏賊(いか),鱿鱼
タコ,章鱼
海老(えび),虾
貝殻(かいがら),贝壳

調味料(ちょうみりょう),调味料
塩(しお),盐
鹵(ろ),卤
醤油(しょうゆ),酱油
味噌(みそ),味噌
酢(す),醋
砂糖(さとう),糖
油(あぶら),油
山葵(わさび),山葵
本わさび

飲み物(のみもの),饮料
水(みず),水
牛乳(ぎゅうにゅう),牛奶
ミルク,牛奶
豆乳(とうにゅう),豆浆
ジュース,果汁
オレンジジュース,橙汁
マンゴージュース,芒果汁
コーヒー,咖啡
カルピス,可尔必思
酒(さけ),酒
茶(ちゃ),茶
緑茶(りょくちゃ),绿茶
紅茶(こうちゃ),红茶
烏龍茶(うーろんちゃ),乌龙茶
ダージリン,大吉岭茶

アイス,冰淇淋;冷饮
ソフトクリーム,软冰淇淋
