言葉(ことば),词语;语言
仮名(かな),假名
平仮名(ひらがな),平假名
片仮名(かたかな),片假名
世界(せかい),世界
ワルド,世界
太陽(たいよう),太阳
月(つき),月亮
星(ほし),星星
空(そら),天空
星空(ほしぞら),星空
海(うみ),海洋
七海(ななみ),七海
現実(げんじつ),现实
夢(ゆめ),梦想;梦
愛(あい),爱
焔(ほむら),火焰
出来事(できごと),事件;发生的事

学校(がっこう),学校
幼稚園(ようちえん),幼稚园
小学(しょうがく),小学
中学(ちゅうがく),中学
高校(こうこう),高中
大学(だいがく),大学
大学院(だいがくいん),研究生院
先生(せんせい),老师
学生(がくせい),学生
研修生(けんしゅうせい),实习生
博士(はかせ),博士
留学(りゅうがく),留学

仕事(しごと),工作
会社(かいしゃ),公司
会社員(かいしゃいん),公司职员
店(みせ),店铺
店員(てんいん),店员
旅行社(りょこうしゃ),旅行社
旅行者(りょこうしゃ),旅行者
作家(さっか),作家

物(もの),物品
机(つくえ),桌子、书桌
椅子(いす),椅子
雑誌(ざっし),杂志
辞書(じしょ),辞典
新聞(しんぶん),报纸
葉書(はがき),明信片
ペン,钢笔;圆珠笔
テレビ,电视
パソコン,个人电脑
カメラ,照相机
インスタントカメラ,即影即有相机
フィルム,胶卷
チッキ,拍立得相纸
花瓶(かびん),花瓶
フォーク,叉子
スプーン,勺子

時間(じかん),时间
以前(いぜん),以前
未来(みらい),未来
昔
今
年(ねん),年
年中(ねんじゅう),全年
月(つき),月;月份
週(しゅう),周
日(にち),日;天
昨日(きのう),昨天
今日(きょう),今天
明日(あした),明天
朝(あさ),早晨
毎朝(まいあさ),每天早晨
昼
夕暮れ(ゆうぐれ),傍晚
夜(よる),夜晚
夜中(よなか),半夜;深夜
真夜(まよる),深夜
ご飯
朝ご飯
昼ご飯
夜ご飯
曜日(ようび),星期
日曜日(にちようび),星期日
月曜日(げつようび),星期一
火曜日(かようび),星期二
水曜日(すいようび),星期三
木曜日(もくようび),星期四
金曜日(きんようび),星期五
土曜日(どようび),星期六


服(ふく),衣服
制服(せいふく),制服
パンツ,裤子
袋(ふくろ),袋子
レックレス
ピアス
ブレスレット
アロマ
アクセサリー


天気(てんき),天气
天気予報(てんきよほう),天气预报
雨(あめ),雨
雪(ゆき),雪
風(かぜ),风
晴れ(はれ),晴天



方向(ほうこう),方向
北(きた),北
南(みなみ),南
東(ひがし),东
西(にし),西
左側(ひだりがわ),左侧
右側(みぎがわ),右侧



祝日
新年(しんねん),新年
ひな祭り
大晦日(おおみそか),除夕
花火(はなび),烟花
花火大会(はなびたいかい),烟花大会

人類(じんるい),人类
体(からだ),身体
頭(あたま),头
脳(のう),大脑
目(め),眼睛
眼鏡(めがね),眼镜
鼻(はな),鼻子
口(くち),嘴
唇(くちびる),嘴唇
耳(みみ),耳朵
喉(のど),喉咙
腹(はら),腹部
お腹(おなか),肚子
手(て),手
指(ゆび),手指
指先(ゆびさき),指尖
色白(いろじろ),皮肤白
色黒(いろぐろ),皮肤黑
心(こころ),心脏;心情
心臓(しんぞう),心脏
大人(おとな),大人
子供(こども),孩子
乙女(おとめ),少女
男性
女性
女子(じょし),女性
女の子
息子
娘
兄(あに),哥哥
姉(あね),姐姐
先輩(せんぱい),前辈
後輩(こうはい),后辈
彼(かれ),他
彼女(かのじょ),她
彼氏(かれし),男朋友

意識(いしき),意识
性格(せいかく),性格

色(いろ),颜色
赤(あか),红色
緑(みどり),绿色
白(しろ),白色
黒(くろ),黑色

寒い(さむい),寒冷的
冷たい(つめたい),冰冷的
暑い(あつい),炎热的
暖かい(あたたかい),温暖的
遠い(とおい),(距离)远的;(时间)久的
寂しい(さびしい),寂寞的
優しい(やさしい),温柔的;亲切的
弱い(よわい),虚弱的;弱小的
青い(あおい),蓝色的;青色的
赤い(あかい),红色的
白い(しろい),白色的
美味しい(おいしい),美味的
面白い(おもしろい),有趣的
簡単(かんたん),简单的
難しい(むずかしい),困难的
痛い
痛み
綺麗(きれい),漂亮的;干净的
様々(さまざま),各种各样的
滅茶苦茶(めちゃくちゃ),乱七八糟的;非常的

好き(すき),喜欢
住む(すむ),居住
歩く(あるく),步行
行く(いく),去
行き(いき・ゆき),去;往
覚える(おぼえる),记住;学习
忘れる(わすれる),忘记
歌う(うたう),唱歌
見る(みる),看;观看
モテる,受欢迎;有人气
直す(なおす),修理;改正
使う(つかう),使用
買う(かう),购买
死ぬ(しぬ),死亡
遊ぶ(あそぶ),玩耍;游玩
帰る(かえる),回去;回家
出る(でる),出去;出现
守る(まもる),保护;遵守
働く(はたらく),工作;劳动
眠る(ねむる),睡觉;入眠
引く(ひく),拉;牵引;引导
押す(おす),推;按
話す(はなす),说话;交谈
話し合う(はなしあう),讨论;商量
聞く(きく),听;询问
思う(おもう),思考;认为
考える(かんがえる),思考;考虑
出す(だす),拿出;取出
遣る(やる),做;给;发出
貰う(もらう),接受;得到
振る
降る
迷う
残る
払う(はらう),支付
支払う(しはらう),支付
入る(はいる),进入
入れる(いれる),放入;使进入
出来る(できる),能够;会
預かる(あずかる),保管;管理
預ける(あずける),寄存;托付
並ぶ(ならぶ),排队;排列
並べる(ならべる),摆放;排列
返る
返す
振り返す
やり直す(やりなおす),重做
思い出す(おもいだす),回忆
思い出し(おもいだし),回忆
打ち上げ
打ち上げる
勉強する



すき家
マクドナルド,麦当劳
スターバックス,星巴克
コンビニ
ファミリーマート,全家便利店




飛行機(ひこうき),飞机
船(ふね),船
車(くるま),车
自転車(じてんしゃ),自行车

問題(もんだい),问题
ニュース,新闻
ストレス,压力
自由(じゆう),自由
人生(じんせい),人生
記録(きろく),记录

社会
国家(こっか),国家
合法(ごうほう),合法
年金(ねんきん),养老金
機関(きかん),机关;机构
郵便(ゆうびん),邮政

携帯電話(けいたいでんわ),手机
スマホ,智能手机
スマートフォン,智能手机
アプリ,应用程序
インターネット,互联网
ウェブ,网络
ブログ,博客
ツイッター,推特
ググル,谷歌
インスタグラム,Instagram
お気に入り(おきにいり),收藏;喜爱的
ブックマーク,书签
パスワード,密码
ワークアウト,锻炼;运动
ステータス,状态
モーメンツ,时刻;瞬间
チャンネル,频道
カード,卡片
サービス,服务
マネー,钱
ウォレット,钱包

球(きゅう),球
野球(やきゅう),棒球

特別(とくべつ),特别
友達(ともだち),朋友
特典(とくてん),特典;优惠
必要(ひつよう),必要的
設定(せってい),设置
アンチ,反对者;敌对者
ガチ,真心的;认真
勝ち(かち),胜利


野(の),野地

駄目(だめ),不行;无用
注文(ちゅうもん),订单;请求
正解(せいかい),正确答案
正確(せいかく),准确
禁止(きんし),禁止
繰り返す(くりかえす),重复
発見(はっけん),发现
風呂(ふろ),浴室;洗澡
暮らし(くらし),生活
完全(かんぜん),完全
広々(ひろびろ),宽广
危険(きけん),危险
掃除(そうじ),清扫
確認(かくにん),确认

記号(きごう),符号;标志
期間(きかん),期间
疲れ(つかれ),疲劳
本人(ほんにん),本人
側(がわ),一方;侧面
ミス,错误
変態(へんたい),变态
痴漢(ちかん),色狼;猥亵者

健康(けんこう),健康
健全(けんぜん),健全
知識(ちしき),知识
能力(のうりょく),能力
感情(かんじょう),感情
機嫌(きげん),心情;情绪

コメント,评论;意见
ネタ,话题;材料
下ネタ(しもねた),黄色笑话;荤段子
セクハラ,性骚扰
パワハラ,职权骚扰
コクハラ,告白骚扰
マルハラ,句号骚扰
プラス,加号;正面
恋愛(れんあい),恋爱
両思い(りょうおもい),相互喜欢
片思い(かたおもい),单恋

ホスト
クラブ
ヘルス
ファッション
シャンパン
激しい
競争
繰り広げる
バトル
売掛金
担当
目標
斡旋
スカウト

